attribute,type,required,style,units,description,options,alias
comments,str,FALSE,free form,none,any comment on timing system,none,none
drift,float,TRUE,number,seconds,estimated drift of the timing system,none,none
type,str,TRUE,free form,none,type of timing system,none,none
uncertainty,float,TRUE,number,seconds,estimated uncertainty of the timing system,none,none
