attribute,type,required,style,units,description,options,alias,example
option,string,TRUE,controlled vocabulary, none,how the data are stored,[ channel-measurement specific | geographic orthogonal | geomagnetic orthogonal |site-specific orthogonal ],none,geomagnetic
method,string,TRUE,controlled vocabulary,none,method for orienting station layout,[ compass | GPS | theodolite | other ],none,compass
layout_rotation_angle,float,FALSE,number,degrees,angle relatave to geographic north of the station layout assuming components are orthogonal,none,none,0
