attribute,type,required,style,units,description,options,alias
creation_time,str,TRUE,date time,none,date and time the file was created,none,none
comments,str,FALSE,free form,none,any comments on provenance of the data,none,none
log,str,FALSE,free form,none,a history of changes made to the data,none,none
